source_id,course,title,original_path,format,document_role,year,output_md,locator_type,method,ocr_used,ocr_confidence,ocr_warning,status,reviewer,notes
engineering-mathematical-analysis-2-013,engineering_math_analysis_2,2009级计算机工科数学分析下 期末B,学科资料/工科数学分析II/往年卷/2009级计算机工科数学分析下 期末B.doc,doc,past_exam,2009,engineering_math_analysis_2/engineering-mathematical-analysis-2-013.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 55 native OMML formulas converted to LaTeX"
engineering-mathematical-analysis-2-014,engineering_math_analysis_2,2012级计算机工科数学分析下 期末考试题(A卷),学科资料/工科数学分析II/往年卷/2012级计算机工科数学分析下 期末考试题(A卷).doc,doc,past_exam,2012,engineering_math_analysis_2/engineering-mathematical-analysis-2-014.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 60 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 4 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-015,engineering_math_analysis_2,2012级计算机工科数学分析下 期末考试题(B卷),学科资料/工科数学分析II/往年卷/2012级计算机工科数学分析下 期末考试题(B卷) .doc,doc,past_exam,2012,engineering_math_analysis_2/engineering-mathematical-analysis-2-015.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 64 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 2 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-016,engineering_math_analysis_2,2013级软件 工科数学分析下A,学科资料/工科数学分析II/往年卷/2013级软件 工科数学分析下A.doc,doc,note,2013,engineering_math_analysis_2/engineering-mathematical-analysis-2-016.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 63 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-017,engineering_math_analysis_2,2013级软件 工科数学分析下A附解答,学科资料/工科数学分析II/往年卷/2013级软件 工科数学分析下A附解答.doc,doc,past_exam_answer,2013,engineering_math_analysis_2/engineering-mathematical-analysis-2-017.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 96 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 14 native OMML formulas converted to LaTeX; 4 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-018,engineering_math_analysis_2,2013级软件 工科数学分析下B,学科资料/工科数学分析II/往年卷/2013级软件 工科数学分析下B.doc,doc,note,2013,engineering_math_analysis_2/engineering-mathematical-analysis-2-018.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 56 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-019,engineering_math_analysis_2,2014级软件 工科数学分析下A,学科资料/工科数学分析II/往年卷/2014级软件 工科数学分析下A.doc,doc,note,2014,engineering_math_analysis_2/engineering-mathematical-analysis-2-019.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 36 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-020,engineering_math_analysis_2,2014级软件 工科数学分析下B,学科资料/工科数学分析II/往年卷/2014级软件 工科数学分析下B.doc,doc,note,2014,engineering_math_analysis_2/engineering-mathematical-analysis-2-020.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 38 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-021,engineering_math_analysis_2,2015级软件 工科数学分析下A,学科资料/工科数学分析II/往年卷/2015级软件 工科数学分析下A.doc,doc,note,2015,engineering_math_analysis_2/engineering-mathematical-analysis-2-021.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 40 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-022,engineering_math_analysis_2,2015级软件 工科数学分析下B,学科资料/工科数学分析II/往年卷/2015级软件 工科数学分析下B.doc,doc,note,2015,engineering_math_analysis_2/engineering-mathematical-analysis-2-022.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 41 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-023,engineering_math_analysis_2,2016级工科数学分析期末试卷B解答,学科资料/工科数学分析II/往年卷/2016级工科数学分析期末试卷B解答.pdf,pdf,past_exam_answer,2016,engineering_math_analysis_2/engineering-mathematical-analysis-2-023.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 10 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-2-024,engineering_math_analysis_2,2016级工科数学分析试卷A,学科资料/工科数学分析II/往年卷/2016级工科数学分析试卷A.doc,doc,past_exam,2016,engineering_math_analysis_2/engineering-mathematical-analysis-2-024.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 68 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 1 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-025,engineering_math_analysis_2,2016级工科数学分析试卷B,学科资料/工科数学分析II/往年卷/2016级工科数学分析试卷B.doc,doc,past_exam,2016,engineering_math_analysis_2/engineering-mathematical-analysis-2-025.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 78 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 1 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-026,engineering_math_analysis_2,2017级工科数学分析期末试卷A,学科资料/工科数学分析II/往年卷/2017级工科数学分析期末试卷A.doc,doc,past_exam,2017,engineering_math_analysis_2/engineering-mathematical-analysis-2-026.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 68 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 1 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-027,engineering_math_analysis_2,2017级工科数学分析期末试卷A答案,学科资料/工科数学分析II/往年卷/2017级工科数学分析期末试卷A答案.pdf,pdf,past_exam_answer,2017,engineering_math_analysis_2/engineering-mathematical-analysis-2-027.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 10 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-2-028,engineering_math_analysis_2,2017级工科数学分析期末试卷B,学科资料/工科数学分析II/往年卷/2017级工科数学分析期末试卷B.doc,doc,past_exam,2017,engineering_math_analysis_2/engineering-mathematical-analysis-2-028.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 64 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 1 tool-proposed question boundaries need human confirmation; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-029,engineering_math_analysis_2,2017级工科数学分析期末试卷B答案,学科资料/工科数学分析II/往年卷/2017级工科数学分析期末试卷B答案.pdf,pdf,past_exam_answer,2017,engineering_math_analysis_2/engineering-mathematical-analysis-2-029.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 10 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-2-030,engineering_math_analysis_2,2018级工科数学分析（二）A,学科资料/工科数学分析II/往年卷/2018级工科数学分析（二）A.doc,doc,note,2018,engineering_math_analysis_2/engineering-mathematical-analysis-2-030.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 34 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-031,engineering_math_analysis_2,2018级工科数学分析（二）A附解答,学科资料/工科数学分析II/往年卷/2018级工科数学分析（二）A附解答.doc,doc,past_exam_answer,2018,engineering_math_analysis_2/engineering-mathematical-analysis-2-031.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 47 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
engineering-mathematical-analysis-2-032,engineering_math_analysis_2,2018级工科数学分析（二）B,学科资料/工科数学分析II/往年卷/2018级工科数学分析（二）B.doc,doc,note,2018,engineering_math_analysis_2/engineering-mathematical-analysis-2-032.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 32 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
